,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
14,12,0 | 0.0%,0 | 0.0%,0 | 0.0%,7 | 0.0%,50 | 0.03%,105 | 0.06%,253 | 0.15%,244 | 0.14%,290 | 0.17%,240 | 0.14%,173 | 0.1%,232 | 0.13%,102 | 0.06%,104 | 0.06%,43 | 0.02%,30 | 0.02%,32 | 0.02%,11 | 0.01%,8 | 0.0%,12 | 0.01%,7 | 0.0%,2 | 0.0%,3 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,4 | 0.0%,1 | 0.0%,1 | 0.0%,1 | 0.0%,2 | 0.0%,0 | 0.0%,4 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
15,13,0 | 0.0%,0 | 0.0%,0 | 0.0%,5 | 0.0%,42 | 0.02%,100 | 0.06%,142 | 0.08%,183 | 0.11%,212 | 0.12%,208 | 0.12%,199 | 0.11%,123 | 0.07%,100 | 0.06%,76 | 0.04%,55 | 0.03%,20 | 0.01%,24 | 0.01%,17 | 0.01%,13 | 0.01%,9 | 0.01%,1 | 0.0%,1 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,3 | 0.0%,1 | 0.0%,1 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
16,14,0 | 0.0%,0 | 0.0%,0 | 0.0%,7 | 0.0%,29 | 0.02%,67 | 0.04%,126 | 0.07%,139 | 0.08%,152 | 0.09%,142 | 0.08%,161 | 0.09%,86 | 0.05%,63 | 0.04%,49 | 0.03%,30 | 0.02%,19 | 0.01%,35 | 0.02%,13 | 0.01%,6 | 0.0%,3 | 0.0%,5 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,2 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
17,15,0 | 0.0%,0 | 0.0%,1 | 0.0%,4 | 0.0%,26 | 0.01%,67 | 0.04%,96 | 0.06%,108 | 0.06%,141 | 0.08%,105 | 0.06%,103 | 0.06%,72 | 0.04%,52 | 0.03%,39 | 0.02%,15 | 0.01%,15 | 0.01%,15 | 0.01%,9 | 0.01%,5 | 0.0%,8 | 0.0%,5 | 0.0%,3 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
18,16,0 | 0.0%,0 | 0.0%,0 | 0.0%,3 | 0.0%,26 | 0.01%,48 | 0.03%,71 | 0.04%,77 | 0.04%,95 | 0.05%,94 | 0.05%,73 | 0.04%,58 | 0.03%,47 | 0.03%,32 | 0.02%,24 | 0.01%,15 | 0.01%,7 | 0.0%,6 | 0.0%,4 | 0.0%,4 | 0.0%,8 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
19,17,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,36 | 0.02%,28 | 0.02%,42 | 0.02%,58 | 0.03%,72 | 0.04%,60 | 0.03%,60 | 0.03%,46 | 0.03%,39 | 0.02%,27 | 0.02%,13 | 0.01%,9 | 0.01%,11 | 0.01%,2 | 0.0%,2 | 0.0%,6 | 0.0%,5 | 0.0%,4 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
20,18,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,6 | 0.0%,26 | 0.01%,38 | 0.02%,52 | 0.03%,56 | 0.03%,42 | 0.02%,45 | 0.03%,24 | 0.01%,27 | 0.02%,15 | 0.01%,7 | 0.0%,8 | 0.0%,4 | 0.0%,4 | 0.0%,2 | 0.0%,7 | 0.0%,4 | 0.0%,2 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,5 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
21,19,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,10 | 0.01%,26 | 0.01%,31 | 0.02%,30 | 0.02%,47 | 0.03%,42 | 0.02%,30 | 0.02%,21 | 0.01%,26 | 0.01%,9 | 0.01%,7 | 0.0%,7 | 0.0%,3 | 0.0%,3 | 0.0%,2 | 0.0%,3 | 0.0%,5 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,8 | 0.0%,3 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
22,20,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,10 | 0.01%,26 | 0.01%,19 | 0.01%,37 | 0.02%,28 | 0.02%,25 | 0.01%,19 | 0.01%,20 | 0.01%,9 | 0.01%,3 | 0.0%,2 | 0.0%,3 | 0.0%,4 | 0.0%,5 | 0.0%,4 | 0.0%,7 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
23,21,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,5 | 0.0%,11 | 0.01%,9 | 0.01%,11 | 0.01%,18 | 0.01%,19 | 0.01%,15 | 0.01%,12 | 0.01%,17 | 0.01%,10 | 0.01%,3 | 0.0%,6 | 0.0%,5 | 0.0%,0 | 0.0%,4 | 0.0%,2 | 0.0%,6 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
24,22,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,3 | 0.0%,11 | 0.01%,11 | 0.01%,13 | 0.01%,11 | 0.01%,20 | 0.01%,10 | 0.01%,5 | 0.0%,12 | 0.01%,8 | 0.0%,9 | 0.01%,6 | 0.0%,2 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,4 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
25,23,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,3 | 0.0%,7 | 0.0%,3 | 0.0%,8 | 0.0%,10 | 0.01%,11 | 0.01%,6 | 0.0%,3 | 0.0%,4 | 0.0%,4 | 0.0%,4 | 0.0%,6 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,3 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
26,24,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,6 | 0.0%,4 | 0.0%,4 | 0.0%,4 | 0.0%,7 | 0.0%,3 | 0.0%,4 | 0.0%,3 | 0.0%,1 | 0.0%,1 | 0.0%,2 | 0.0%,3 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
27,25,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,3 | 0.0%,2 | 0.0%,8 | 0.0%,1 | 0.0%,5 | 0.0%,4 | 0.0%,2 | 0.0%,4 | 0.0%,3 | 0.0%,2 | 0.0%,1 | 0.0%,3 | 0.0%,0 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
28,26,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,5 | 0.0%,4 | 0.0%,4 | 0.0%,5 | 0.0%,5 | 0.0%,5 | 0.0%,6 | 0.0%,2 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
29,27,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,3 | 0.0%,1 | 0.0%,1 | 0.0%,6 | 0.0%,2 | 0.0%,1 | 0.0%,1 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
30,28,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,3 | 0.0%,1 | 0.0%,3 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,3 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
31,29,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,2 | 0.0%,0 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
32,30,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,1 | 0.0%,2 | 0.0%,2 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
33,31,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,5 | 0.0%,1 | 0.0%,12 | 0.01%,2 | 0.0%,0 | 0.0%,4 | 0.0%,6 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
34,32,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,4 | 0.0%,1 | 0.0%,16 | 0.01%,6 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
