,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
20,18,0 | 0.0%,2 | 0.0%,15 | 0.01%,30 | 0.02%,33 | 0.02%,42 | 0.02%,42 | 0.02%,34 | 0.02%,31 | 0.02%,36 | 0.02%,31 | 0.02%,19 | 0.01%,15 | 0.01%,9 | 0.01%,13 | 0.01%,3 | 0.0%,5 | 0.0%,2 | 0.0%,7 | 0.0%,1 | 0.0%,2 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
21,19,2 | 0.0%,6 | 0.0%,13 | 0.01%,38 | 0.02%,25 | 0.01%,28 | 0.02%,30 | 0.02%,29 | 0.02%,28 | 0.02%,20 | 0.01%,27 | 0.02%,18 | 0.01%,10 | 0.01%,12 | 0.01%,7 | 0.0%,6 | 0.0%,2 | 0.0%,5 | 0.0%,3 | 0.0%,2 | 0.0%,2 | 0.0%,2 | 0.0%,2 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
22,20,1 | 0.0%,0 | 0.0%,9 | 0.01%,13 | 0.01%,19 | 0.01%,27 | 0.02%,15 | 0.01%,16 | 0.01%,17 | 0.01%,25 | 0.01%,17 | 0.01%,12 | 0.01%,11 | 0.01%,7 | 0.0%,8 | 0.0%,3 | 0.0%,4 | 0.0%,6 | 0.0%,4 | 0.0%,5 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
23,21,0 | 0.0%,1 | 0.0%,8 | 0.0%,8 | 0.0%,7 | 0.0%,14 | 0.01%,12 | 0.01%,20 | 0.01%,11 | 0.01%,10 | 0.01%,8 | 0.0%,13 | 0.01%,6 | 0.0%,6 | 0.0%,5 | 0.0%,5 | 0.0%,4 | 0.0%,3 | 0.0%,6 | 0.0%,0 | 0.0%,0 | 0.0%,3 | 0.0%,0 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
24,22,0 | 0.0%,0 | 0.0%,6 | 0.0%,10 | 0.01%,10 | 0.01%,10 | 0.01%,16 | 0.01%,11 | 0.01%,14 | 0.01%,11 | 0.01%,5 | 0.0%,2 | 0.0%,7 | 0.0%,5 | 0.0%,3 | 0.0%,4 | 0.0%,4 | 0.0%,2 | 0.0%,4 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
25,23,0 | 0.0%,1 | 0.0%,1 | 0.0%,4 | 0.0%,5 | 0.0%,5 | 0.0%,9 | 0.01%,8 | 0.0%,7 | 0.0%,11 | 0.01%,3 | 0.0%,4 | 0.0%,5 | 0.0%,2 | 0.0%,3 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,2 | 0.0%,1 | 0.0%,1 | 0.0%,1 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
26,24,0 | 0.0%,1 | 0.0%,3 | 0.0%,4 | 0.0%,5 | 0.0%,2 | 0.0%,4 | 0.0%,3 | 0.0%,1 | 0.0%,1 | 0.0%,7 | 0.0%,2 | 0.0%,2 | 0.0%,4 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,1 | 0.0%,2 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
27,25,0 | 0.0%,0 | 0.0%,5 | 0.0%,4 | 0.0%,1 | 0.0%,3 | 0.0%,3 | 0.0%,6 | 0.0%,3 | 0.0%,1 | 0.0%,4 | 0.0%,2 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,2 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
28,26,0 | 0.0%,3 | 0.0%,0 | 0.0%,4 | 0.0%,5 | 0.0%,3 | 0.0%,3 | 0.0%,2 | 0.0%,1 | 0.0%,1 | 0.0%,2 | 0.0%,3 | 0.0%,6 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
29,27,0 | 0.0%,1 | 0.0%,0 | 0.0%,2 | 0.0%,1 | 0.0%,1 | 0.0%,6 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,1 | 0.0%,2 | 0.0%,1 | 0.0%,0 | 0.0%,0 | 0.0%,1 | 0.0%,0 | 0.0%,3 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,0 | 0.0%,
